"Year","De Aar","Gouda","Karusa","Noupoort","Nxuba","Oyster Bay","Roggeveld","Soetwater"
1990,5.69896974494069,5.95651399367188,7.71056918054521,9.08418562761562,10.5823845613801,9.65186446729315,7.71056918054521,9.3289135488247
1991,5.85264301109054,5.07157873690025,6.88425807921885,8.19521358248071,8.84545462033339,10.0877966609774,6.88425807921885,7.82978810035639
1992,6.16069648119004,5.43045971478936,7.04285623854768,8.14232389320514,9.70015226038726,10.1191197543749,7.04285623854768,8.7292620567793
1993,5.5961371076273,5.13304737599947,5.94286047484206,8.1969208804241,9.79663533848685,8.68775555138119,5.94286047484206,7.5295037734255
1994,7.07398033923118,5.37132003854184,6.87893602217352,8.87446841546675,10.3362060659484,9.63230180881887,6.87893602217352,8.41114546916798
1995,5.9398631839936,5.18669319558946,6.19644727389195,9.34024430920676,10.7798825584791,8.97165148504092,6.19644727389195,7.6509274799219
1996,6.75680717574846,5.40946953773718,6.53332710628412,9.23543169494639,10.8379721504623,9.49362653241263,6.53332710628412,8.05728964172675
1997,7.45775469745025,6.74524196418005,7.8826459179863,8.3623680447028,10.4770148711153,8.80573610229459,7.8826459179863,7.62271255736816
1998,6.70009276152308,5.97098871267485,6.68915989595848,10.048992500264,10.1656671592852,9.35207571286036,6.68915989595848,8.87439703051394
1999,6.98119610365522,5.51593501421774,6.9097738922647,8.3161194061149,10.8443988763613,8.26849334396467,6.9097738922647,8.52705811061119
2000,5.89772384019674,9.05777817522802,11.5541309162338,8.51342116651173,10.4350958907375,9.54915247186099,11.5541309162338,12.6401001136512
2001,6.19316466966964,5.21013610746604,5.91591687186597,8.92730354451835,10.4971005600565,9.87365903935173,5.91591687186597,9.22953434587969
2002,6.84740270198292,5.91742890772702,6.79660895448839,8.37124620100267,9.73600773126614,9.85028509223699,6.79660895448839,7.88811755455924
2003,6.45735830740053,5.93818752418217,10.8067365275398,7.98632969394613,9.98782497758812,10.1821511649405,10.8067365275398,12.0551582011699
2004,5.64172723038078,6.13671587946489,6.80903475541255,8.24204321050436,10.4565369488855,11.1572087224013,6.80903475541255,8.67323870813158
2005,5.97030038913128,5.42264477607996,7.03153460094167,8.21481555480663,9.97955500608459,9.23933193136478,7.03153460094167,8.36505018722596
2006,7.92601157310451,6.33828190186663,7.60833812448662,9.23749510051264,10.3499004866666,9.4940971995476,7.60833812448662,9.04070070648872
2007,6.32415381693273,7.29399063912108,7.27405155919877,7.65013402073715,9.7508219402895,8.89471423338486,7.27405155919877,8.1435135362957
2008,6.20321726885551,5.47263424294025,5.82603490666547,8.25814137635736,10.5938270955951,8.35370041660952,5.82603490666547,7.39255916132501
2009,6.52681599700524,5.1254520446442,6.18177883057181,8.18989020414946,8.93994293236127,8.74277988361191,6.18177883057181,7.77948170655525
2010,5.90486338816056,5.41153084492773,6.65958772075461,7.33788429612798,9.4110470896056,9.09329306416024,6.65958772075461,7.82634774167902
2011,5.66035439436122,5.77481209072512,6.20775478740019,7.82495277853573,10.4661435095709,9.14233282829376,6.20775478740019,7.44204383540728
2012,7.27136501935884,5.6794852886518,5.91795773119559,8.63975769003664,10.7536257030863,10.3001234600779,5.91795773119559,7.17412493369851
2013,5.93554049534425,6.22999212212172,5.78243484930941,7.61334915308311,8.97791922501732,9.38004853881689,5.78243484930941,8.5169087310329
2014,7.54852142482221,8.73991270144779,6.73975049595694,7.68742964318569,10.4034832885561,8.61289324984757,6.73975049595694,7.98006548461814
2015,6.19765891904012,5.01092704024504,6.07242128993687,7.95769623924676,9.39424412259415,9.44229526277425,6.07242128993687,8.18766787537977
2016,5.85732842403802,5.45881979122684,6.69168077958583,8.45411725203826,9.11712596902346,8.97187783730589,6.69168077958583,8.10100086031158
2017,7.55022510280123,5.03256959363369,6.97996426824988,9.58118914506585,10.8209149753615,12.2026122923206,6.97996426824988,7.67303781169357
2018,6.62703437040194,5.61913535478724,7.14191254151611,8.25642040698575,10.0810904910961,9.86994288134331,7.14191254151611,9.28030645370561
2019,6.26644994193959,9.1356884407533,10.8565156757348,9.61224927608763,11.3640928645606,10.5765671310757,10.8565156757348,12.3323485056435
2020,6.80137219843136,7.25318853052447,7.61479902627512,8.18822019137456,9.71956431041459,8.91158532643827,7.61479902627512,8.89347033860674
2021,6.02129265552827,7.34309977231505,9.17408709200442,8.72406397116804,10.4582036571922,9.19013471555015,9.17408709200442,10.4388630099145
2022,5.72503835840644,7.44641813251568,6.91663799892194,7.80324828863602,9.52010450714882,7.96053946661742,6.91663799892194,8.12866058660753
2023,6.2018934642448,6.27639999490587,6.88875896356873,9.57867858898069,9.60294656669591,10.4182445825363,6.88875896356873,8.84205989921043
2024,6.54957297248789,6.63357233026306,6.19472814051777,8.25546335412299,10.5957733739079,10.1931576776407,6.19472814051777,8.00437739945686
2025,6.5259016685111,5.17319547143894,5.57930511308815,7.49556575752462,9.46655806618133,9.18674491368602,5.57930511308815,6.93005468379906
2026,4.9734331919825,NA,NA,8.77804357477508,NA,NA,NA,NA
